Mã trường,Trường đào tạo,Ngành,Nhóm ngành,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Loại điểm,Thang_diem_goc,Diem_chuan_quy_doi,Mon_he_so_2,TTNV_max,Phan_hieu_co_so,Dieu_kien_gioi_tinh,Ghi_chu_can_review,Ma_nganh_goc,Outlier_diem,Khoi_to_hop
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,A01,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40,40,26.7,Tiếng Anh,,,,FALSE,7220201,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D01,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40,40,26.7,Tiếng Anh,,,,FALSE,7220201,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D09,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40,40,26.7,Tiếng Anh,,,,FALSE,7220201,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D10,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40,40,26.7,Tiếng Anh,,,,FALSE,7220201,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),A00,27.2,,THPTQG,30,27.2,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),A01,27.2,,THPTQG,30,27.2,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),D01,27.2,,THPTQG,30,27.2,,,,,FALSE,7310101,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),D07,27.2,,THPTQG,30,27.2,,,,,FALSE,7310101,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00,27.01,,THPTQG,30,27.01,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A01,27.01,,THPTQG,30,27.01,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),D01,27.01,,THPTQG,30,27.01,,,,,FALSE,7310101,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),D07,27.01,,THPTQG,30,27.01,,,,,FALSE,7310101,FALSE,D
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00,27.34,,THPTQG,30,27.34,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A01,27.34,,THPTQG,30,27.34,,,,,FALSE,7310101,FALSE,A
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),D01,27.34,,THPTQG,30,27.34,,,,,FALSE,7310101,FALSE,D
