column_name,data_type,required,description
year,integer,yes,Năm tuyển sinh
university_admission_code,string,no,Mã trường dùng trong dữ liệu tuyển sinh
university_code,string,no,Mã trường thay thế hoặc mã cơ sở đào tạo
university_name,string,no,Tên trường đào tạo
institution_type,string,no,Loại đơn vị đào tạo
region,string,no,Khu vực tuyển sinh
province,string,no,Tỉnh hoặc thành phố
major_group_code,string,no,Mã nhóm ngành
major_group_name,string,no,Tên nhóm ngành
submajor_code,string,no,Mã phân ngành
submajor_name,string,no,Tên phân ngành
major_admission_code,string,no,Mã xét tuyển gốc có thể có hậu tố
major_code,string,no,Mã ngành gốc đã bỏ hậu tố biến thể
major_name,string,no,Tên ngành
admission_method,string,no,Phương thức hoặc loại điểm xét tuyển
subject_combination,string,no,Tổ hợp xét tuyển
combination_group,string,no,Nhóm tổ hợp chữ cái đầu
cutoff_score,number,no,Điểm chuẩn trên thang gốc
score_scale,string,no,Thang điểm gốc hoặc variable/other
cutoff_score_30,number,no,Điểm chuẩn quy đổi thang 30 chỉ cho THPTQG thang 30 hoặc 40
weighted_subject,string,no,Môn có hệ số nếu nguồn ghi nhận
weighted_subject_factor,number,no,Hệ số của môn tương ứng
gender_requirement,string,no,Điều kiện giới tính nếu có
honors_program,boolean,no,Cờ chương trình chất lượng cao
campus,string,no,Phân hiệu hoặc cơ sở đào tạo
max_preference,number,no,Giới hạn thứ tự nguyện vọng nếu có
note,string,no,Ghi chú nguồn
note_requires_review,boolean,no,Cờ ghi chú cần rà soát thủ công
outlier_score,boolean,no,Cờ điểm ngoài IQR trong dữ liệu clean
