column_name,data_type,required,description
year,integer,yes,Năm thi bốn chữ số
exam_program,string,yes,pre_2025 hoặc chương trình thi năm 2025
candidate_id,string,yes,Số báo danh tám chữ số; chỉ dùng nội bộ phân tích
province_code,string,yes,Mã tỉnh hai chữ số
candidate_number,string,no,Số thứ tự thí sinh trong tỉnh; chỉ dùng nội bộ phân tích
foreign_language_code,string,no,Mã môn ngoại ngữ
reported_total_score,number,no,Tổng điểm do nguồn dữ liệu cung cấp
math_score,number,no,Điểm Toán từ 0 đến 10
literature_score,number,no,Điểm Ngữ văn từ 0 đến 10
physics_score,number,no,Điểm Vật lý từ 0 đến 10
chemistry_score,number,no,Điểm Hóa học từ 0 đến 10
biology_score,number,no,Điểm Sinh học từ 0 đến 10
history_score,number,no,Điểm Lịch sử từ 0 đến 10
geography_score,number,no,Điểm Địa lý từ 0 đến 10
civics_score,number,no,Điểm Giáo dục công dân từ 0 đến 10
economics_law_score,number,no,Điểm Giáo dục kinh tế và pháp luật từ 0 đến 10
informatics_score,number,no,Điểm Tin học từ 0 đến 10
industrial_technology_score,number,no,Điểm Công nghệ công nghiệp từ 0 đến 10
agricultural_technology_score,number,no,Điểm Công nghệ nông nghiệp từ 0 đến 10
foreign_language_score,number,no,Điểm Ngoại ngữ từ 0 đến 10
a00_score,number,no,Tổng Toán Vật lý Hóa học khi đủ ba môn
a01_score,number,no,Tổng Toán Vật lý Ngoại ngữ khi đủ ba môn
a02_score,number,no,Tổng Toán Vật lý Sinh học khi đủ ba môn
b00_score,number,no,Tổng Toán Hóa học Sinh học khi đủ ba môn
c00_score,number,no,Tổng Ngữ văn Lịch sử Địa lý khi đủ ba môn
c01_score,number,no,Tổng Ngữ văn Toán Vật lý khi đủ ba môn
c02_score,number,no,Tổng Ngữ văn Toán Hóa học khi đủ ba môn
d01_score,number,no,Tổng Toán Ngữ văn Ngoại ngữ khi đủ ba môn
d07_score,number,no,Tổng Toán Hóa học Ngoại ngữ khi đủ ba môn
