column_name,data_type,required,description
job_id,string,yes,Mã tin tuyển dụng ổn định tạo từ nội dung chuẩn hóa
source_name,string,yes,Nguồn dữ liệu tin tuyển dụng
job_title,string,yes,Tiêu đề vị trí
job_title_key,string,yes,Khóa tiêu đề bỏ dấu phục vụ matching
job_category,string,no,Nhóm nghề do nguồn VietJobs cung cấp
job_category_key,string,no,Khóa nhóm nghề bỏ dấu phục vụ matching
location_text,string,no,Địa điểm nguồn ghi nhận
location_key,string,no,Khóa địa điểm bỏ dấu phục vụ matching
country,string,no,Quốc gia
contract_type,string,no,Loại hợp đồng
working_hours,string,no,Thời gian làm việc
salary_min_million_vnd,number,no,Lương thấp nhất triệu VND mỗi tháng khi xác định được
salary_max_million_vnd,number,no,Lương cao nhất triệu VND mỗi tháng khi xác định được
salary_average_million_vnd,number,no,Trung bình lương min/max hợp lệ
salary_is_negotiable,boolean,yes,Cờ lương chưa xác định hoặc thỏa thuận
salary_needs_review,boolean,yes,Cờ khoảng lương bất thường
experience_months,number,no,Kinh nghiệm yêu cầu quy đổi sang tháng
experience_needs_review,boolean,yes,Cờ kinh nghiệm chưa quy đổi được
languages,json-array,yes,Danh sách ngôn ngữ yêu cầu dạng JSON
qualifications,json-array,yes,Danh sách trình độ hoặc bằng cấp dạng JSON
technical_skills,json-array,yes,Danh sách kỹ năng kỹ thuật dạng JSON
soft_skills,json-array,yes,Danh sách kỹ năng mềm dạng JSON
benefits,json-array,yes,Danh sách phúc lợi dạng JSON
description,string,no,Mô tả công việc
requirements_text,string,no,Yêu cầu tuyển dụng gốc
list_needs_review,boolean,yes,Cờ trường danh sách cần rà soát
record_needs_review,boolean,yes,Cờ bản ghi cần rà soát trước khi dùng phân tích nhạy cảm
