major_code,major_name,major_group_name,admission_record_count,first_year,last_year
106,Khoa học Máy tính; Kỹ thuật Máy tính; (Nhóm ngành),Máy tính và công nghệ thông tin,2,2018,2018
106,Khoa học máy tính,Máy tính và công nghệ thông tin,7,2021,2023
106,Kỹ thuật xây dựng,Máy tính và công nghệ thông tin,2,2019,2020
107,Kỹ thuật máy tính,Máy tính và công nghệ thông tin,14,2019,2023
108,Kỹ thuật Điện; Kỹ thuật Điện tử - Viễn thông; Kỹ thuật Điều khiển và tự động hóa; (Nhóm ngành),Kỹ thuật,2,2018,2018
108,Kỹ thuật Điện;Kỹ thuật Điện tử - Viễn thông;Kỹ thuật Điều khiển và tự động hóa;(Nhóm ngành),Kỹ thuật,14,2019,2023
109,Kỹ thuật Cơ khí; Kỹ thuật Cơ điện tử ; (Nhóm ngành),Kỹ thuật,2,2018,2018
109,Kỹ thuật Cơ khí;Kỹ thuật Cơ điện tử;(Nhóm ngành),Kỹ thuật,7,2019,2021
109,Kỹ thuật cơ khí,Kỹ thuật,7,2021,2023
110,Kỹ thuật cơ điện tử,Kỹ thuật,8,2021,2023
112,Kỹ thuật Dệt; Công nghệ Dệt may; (Nhóm ngành),Kỹ thuật,2,2018,2018
112,Kỹ thuật Dệt;Công nghệ Dệt May;(Nhóm ngành),Kỹ thuật,14,2019,2023
114,Kỹ thuật Hóa học; Công nghệ Thực phẩm; Công nghệ Sinh học; (Nhóm ngành),Khoa học sự sống,3,2018,2018
114,Kỹ thuật Hóa học;Công nghệ Thực phẩm;Công nghệ Sinh học;(Nhóm ngành),Khoa học sự sống,19,2019,2023
115,Bảo dưỡng Công nghiệp,Công nghệ kỹ thuật,2,2020,2020
115,Kỹ thuật xây dựng,Kiến trúc và xây dựng,12,2019,2023
115,Quản lý tài nguyên và môi trường,Kiến trúc và xây dựng,2,2018,2018
117,Kiến trúc,Kiến trúc và xây dựng,13,2018,2023
120,Kỹ thuật Địa chất; Kỹ thuật Dầu khí; (Nhóm ngành),Kỹ thuật,2,2018,2018
120,Kỹ thuật Địa chất;Kỹ thuật Dầu khí;(Nhóm ngành),Kỹ thuật,14,2019,2023
123,Quản lý công nghiệp,Công nghệ kỹ thuật,20,2018,2023
125,Kỹ thuật Môi trường; Quản lý Tài nguyên và Môi trường; (Nhóm ngành),Kỹ thuật,4,2018,2018
125,Kỹ thuật Môi trường;Quản lý Tài nguyên và Môi trường;(Nhóm ngành),Kỹ thuật,23,2019,2023
128,Kỹ thuật Hệ thống Công nghiệp; Logistics và Quản lý chuỗi Cung ứng; (Nhóm ngành),Kỹ thuật,2,2018,2018
128,Kỹ thuật Hệ thống Công nghiệp;Logistics và Quản lý chuỗi Cung ứng;(Nhóm ngành),Kỹ thuật,14,2019,2023
129,Kỹ thuật vật liệu,Kỹ thuật,21,2018,2023
130,Kỹ thuật trắc địa - bản đồ,Kỹ thuật,5,2018,2019
131,Công nghệ kỹ thuật vật liệu xây dựng,Công nghệ kỹ thuật,5,2018,2019
137,Vật lý kỹ thuật,Kỹ thuật,16,2018,2023
138,Cơ Kỹ thuật,Kỹ thuật,16,2018,2023
140,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),Kỹ thuật,16,2018,2023
141,Bảo dưỡng Công nghiệp,Công nghệ kỹ thuật,20,2018,2023
142,Kỹ thuật ô tô,Kỹ thuật,16,2018,2023
143,Kỹ thuật tàu thuỷ,Kỹ thuật,2,2018,2018
144,Kỹ thuật Hàng không,Kỹ thuật,2,2018,2018
145,Kỹ thuật Tàu thủy;Kỹ thuật Hàng không;(Nhóm ngành),Kỹ thuật,14,2019,2023
16,Quản trị môi trường doanh nghiệp,Công nghệ kỹ thuật,4,2020,2020
1780202,Quản trị nhà hàng và dịch vụ ăn uống,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân",13,2021,2022
206,Khoa học máy tính,Máy tính và công nghệ thông tin,7,2021,2023
206,Kỹ thuật xây dựng,Máy tính và công nghệ thông tin,8,2018,2020
207,Kỹ thuật máy tính,Máy tính và công nghệ thông tin,15,2018,2023
208,"Kỹ thuật điện, điện tử",Kỹ thuật,15,2018,2023
209,Kỹ thuật cơ khí,Kỹ thuật,15,2018,2023
210,Kỹ thuật cơ điện tử,Kỹ thuật,15,2018,2023
211,Kỹ thuật cơ điện tử,Kỹ thuật,7,2021,2023
214,Kỹ thuật hoá học,Kỹ thuật,21,2018,2023
215,Công nghệ kỹ thuật công trình xây dựng,Kiến trúc và xây dựng,9,2021,2023
215,Kỹ thuật xây dựng,Kiến trúc và xây dựng,8,2018,2020
217,Kiến trúc,Kiến trúc và xây dựng,7,2021,2023
218,Công nghệ sinh học,Khoa học sự sống,8,2022,2023
219,Công nghệ thực phẩm,Sản xuất và chế biến,21,2018,2023
220,Kỹ thuật dầu khí,Kỹ thuật,15,2018,2023
223,Quản lý công nghiệp,Công nghệ kỹ thuật,31,2018,2023
225,Quản lý tài nguyên và môi trường,Môi trường và bảo vệ môi trường,27,2018,2023
228,Logistics và Quản lý chuỗi cung ứng,Công nghệ kỹ thuật,7,2021,2023
229,Kỹ thuật vật liệu,Kỹ thuật,6,2022,2023
237,Vật lý kỹ thuật,Kỹ thuật,7,2021,2023
241,Kỹ thuật môi trường,Kỹ thuật,4,2018,2018
242,Kỹ thuật ô tô,Kỹ thuật,15,2018,2023
245,Kỹ thuật Hàng không,Kỹ thuật,7,2021,2023
245,Kỹ thuật xây dựng,Kỹ thuật,2,2018,2018
266,Khoa học máy tính,Máy tính và công nghệ thông tin,7,2021,2023
268,Cơ Kỹ thuật,Kỹ thuật,7,2021,2023
408,Kỹ thuật điện,Kỹ thuật,2,2018,2018
410,Kỹ thuật cơ điện tử,Kỹ thuật,2,2018,2018
415,Kỹ thuật xây dựng,Kiến trúc và xây dựng,2,2018,2018
419,Công nghệ thực phẩm,Sản xuất và chế biến,7,2018,2019
425,Quản lý tài nguyên và môi trường,Môi trường và bảo vệ môi trường,4,2018,2018
441,Bảo dưỡng Công nghiệp,Công nghệ kỹ thuật,6,2019,2020
445,Kỹ thuật xây dựng,Kiến trúc và xây dựng,3,2019,2019
446,Kỹ thuật xây dựng,Kiến trúc và xây dựng,3,2019,2019
448,Kỹ thuật điện,Kỹ thuật,3,2019,2019
51140201,Cao đẳng giáo dục Mầm non,Sư phạm - Giáo dục,1,2024,2024
51140201,Giáo dục Mầm non,Sư phạm - Giáo dục,10,2024,2024
51140201,Giáo dục Mầm non (CĐ),Sư phạm - Giáo dục,4,2024,2024
51140201,Giáo dục Mầm non (Trình độ Cao Đẳng),Sư phạm - Giáo dục,4,2024,2024
51140201,Giáo dục Mầm non (Trình độ Cao đẳng),Sư phạm - Giáo dục,1,2024,2024
51140201,Giáo dục Mầm non (trình độ CĐ),Sư phạm - Giáo dục,2,2024,2024
51140201,Giáo dục mầm non (Cao đẳng),Sư phạm - Giáo dục,4,2024,2024
51140201,SP Giáo dục Mầm non,Sư phạm - Giáo dục,4,2024,2024
52140222,Sư phạm mỹ thuật,Sư phạm - Giáo dục,1,2024,2024
522,Xây dựng Đảng và chính quyền nhà nước,Khoa học xã hội và hành vi,5,2021,2021
52210101,"Lý luận, lịch sử và phê bình mỹ thuật",Du lịch-Khách sạn,1,2024,2024
52210103,Hội họa,Mỹ thuật - Âm nhạc - Nghệ thuật,1,2024,2024
52210104,Đồ họa,Thiết kế đồ họa - Game - Đa phương tiện,1,2024,2024
52210105,Điêu khắc,Mỹ thuật - Âm nhạc - Nghệ thuật,1,2024,2024
52210403,Thiết kế đồ họa,Thiết kế đồ họa - Game - Đa phương tiện,1,2024,2024
523,Xây dựng Đảng và chính quyền nhà nước,Khoa học xã hội và hành vi,5,2021,2021
527,Kinh tế,Khoa học xã hội và hành vi,24,2019,2023
527,"Kinh tế, chuyên ngành Quản lý kinh tế",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
528,Kinh tế,Khoa học xã hội và hành vi,24,2019,2023
529,Kinh tế,Khoa học xã hội và hành vi,24,2019,2023
530,Chính trị học,Khoa học xã hội và hành vi,18,2019,2023
530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
531,"Chính tri học, chuyên ngành Chính trị phát triển",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
531,Chính trị học,Khoa học xã hội và hành vi,21,2019,2023
532,Quản lý nhà nước,Khoa học xã hội và hành vi,24,2019,2023
532,Quản lý nhà nước,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
533,Chính trị học,Khoa học xã hội và hành vi,22,2019,2023
533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
535,Chính trị học,Khoa học xã hội và hành vi,21,2019,2023
536,Chính trị học,Khoa học xã hội và hành vi,22,2019,2023
537,Quản lý nhà nước,Khoa học xã hội và hành vi,19,2019,2023
