column_name,data_type,required,description
major_code,string,yes,Mã ngành gốc từ dữ liệu điểm chuẩn
major_name,string,yes,Tên ngành
major_group_name,string,no,Nhóm ngành nguồn
job_category,string,yes,Nhóm nghề có trong VietJobs
mapping_basis,string,yes,major_name_keyword hoặc major_group_rule
mapping_confidence,string,yes,high medium hoặc low theo mức cụ thể của quy tắc
mapping_note,string,yes,Ghi chú giới hạn sử dụng mapping
admission_record_count,integer,yes,Số bản ghi điểm chuẩn đóng góp vào catalog
first_year,integer,yes,Năm điểm chuẩn đầu tiên của ngành
last_year,integer,yes,Năm điểm chuẩn gần nhất của ngành
