major_code,major_name,major_group_name,admission_record_count,first_year,last_year
7220101,Tiếng Việt & Văn hóa Việt Nam,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7220101,Tiếng Việt và văn hoá Việt Nam,Nhân văn,99,2018,2023
7220101,Tiếng Việt và văn hóa Việt Nam,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7220101,Tiếng việt và văn hóa Việt Nam,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7220110,Văn học,Nhân văn,1,2018,2018
7220112,Ngành Văn hóa các dân tộc thiểu số Việt Nam,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7220112,Văn hoá các dân tộc thiểu số Việt Nam,Nhân văn,95,2018,2023
7220209,Quốc tế học,Nhân văn,4,2018,2018
7220213,Đông phương học,Nhân văn,2,2019,2020
7226040,Văn hoá học,Nhân văn,4,2021,2021
7229001,Triết học,Nhân văn,194,2018,2023
7229001,Triết học,Văn hóa - Chính trị - Khoa học Xã hội,24,2024,2024
7229008,Chủ nghĩa xã hội khoa học,Nhân văn,23,2019,2023
7229009,Tôn giáo học,Nhân văn,19,2020,2023
7229009,Tôn giáo học,Văn hóa - Chính trị - Khoa học Xã hội,3,2024,2024
7229010,Lịch sử,Nhân văn,231,2018,2023
7229010,Lịch sử,Văn hóa - Chính trị - Khoa học Xã hội,20,2024,2024
7229030,Văn học,Nhân văn,563,2018,2023
7229030,Văn học,Văn hóa - Chính trị - Khoa học Xã hội,52,2024,2024
7229030C,Văn học,Văn hóa - Chính trị - Khoa học Xã hội,1,2024,2024
7229030D,Văn học,Văn hóa - Chính trị - Khoa học Xã hội,3,2024,2024
7229040,Văn hoá học,Nhân văn,355,2018,2023
7229040,Văn hoá học,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
7229040,Văn hóa Doanh nghiệp,Nhân văn,3,2018,2018
7229040,Văn hóa học,Văn hóa - Chính trị - Khoa học Xã hội,16,2024,2024
7229040,Văn học,Nhân văn,8,2021,2022
7229040A,"Ngành Văn hóa học, chuyên ngành Văn hóa Việt Nam",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7229040A,Văn hóa học - Nghiên cứu văn hóa,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
7229040B,"Ngành Văn hóa học, chuyên ngành Công nghiệp Văn hóa",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7229040C,Văn hóa học - Văn hóa đối ngoại,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
7229042,Quán lý văn hóa,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7229042,Quản lý Văn hóa,Văn hóa - Chính trị - Khoa học Xã hội,7,2024,2024
7229042,Quản lý di sản văn hoá,Nhân văn,3,2018,2018
7229042,Quản lý văn hoá,Nhân văn,356,2018,2023
7229042,Quản lý văn hoá,Văn hóa - Chính trị - Khoa học Xã hội,1,2024,2024
7229042,Quản lý văn hóa,Văn hóa - Chính trị - Khoa học Xã hội,20,2024,2024
7229042A,"Ngành Quản lý văn hóa, chuyên ngành Quản lý hoạt động văn hóa xã hội",Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7229042B,Quản lý văn hoá - Quản lý di sản văn hóa,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
7229042D,Quản lý văn hoá - Tổ chức sự kiện,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
731.63,Việt Nam học,Khoa học xã hội và hành vi,4,2023,2023
7310111,Nghiên cứu phát triển,Khoa học xã hội và hành vi,3,2021,2023
7310301,Xã hội học,Khoa học xã hội và hành vi,380,2018,2023
7310301,Xã hội học,Văn hóa - Chính trị - Khoa học Xã hội,39,2024,2024
7310302,Nhân học,Khoa học xã hội và hành vi,25,2018,2023
7310302,Nhân học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7310399,Giới và Phát triển,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7310399,Giới và phát triển,Khoa học xã hội và hành vi,36,2019,2023
7310601,Quốc tế học,Khoa học xã hội và hành vi,171,2018,2023
7310608,Đông Phương học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7310608,Đông phương học,Khoa học xã hội và hành vi,550,2018,2023
7310608,Đông phương học,Văn hóa - Chính trị - Khoa học Xã hội,50,2024,2024
7310620,Đông Nam Á học,Khoa học xã hội và hành vi,103,2019,2023
7310620,Đông Nam Á học,Văn hóa - Chính trị - Khoa học Xã hội,8,2024,2024
7310630,Việt Nam Học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7310630,Việt Nam học,Khoa học xã hội và hành vi,948,2018,2023
7310630,Việt Nam học,Văn hóa - Chính trị - Khoa học Xã hội,67,2024,2024
7310630C,Việt Nam học,Văn hóa - Chính trị - Khoa học Xã hội,1,2024,2024
7310630D,Việt Nam học,Văn hóa - Chính trị - Khoa học Xã hội,1,2024,2024
7320201A,Chuyên ngành: Thư viện - Thiết bị trường học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7320305,Bảo tàng học,Văn hóa - Chính trị - Khoa học Xã hội,6,2024,2024
7320305,Ngành Bảo tàng học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7340403,Quản lý công,Văn hóa - Chính trị - Khoa học Xã hội,28,2024,2024
7440101,Vũ trụ và Ứng dụng,Khoa học tự nhiên,8,2019,2020
7440102,Vật lí,Khoa học tự nhiên,4,2022,2022
7440102,Vật lí học,Khoa học tự nhiên,2,2018,2018
7440112,Hoá học,Khoa học tự nhiên,439,2018,2023
7440112,Hóa học,Khoa học tự nhiên,5,2018,2020
7440122,Khoa học vật liệu,Khoa học tự nhiên,65,2018,2023
7440212,Bản đồ học,Khoa học tự nhiên,6,2018,2019
7440217,Địa lý tự nhiên,Khoa học tự nhiên,28,2018,2020
7440221,Khí tượng và khí hậu học,Khoa học tự nhiên,36,2018,2021
7440224,Thuỷ văn học,Khoa học tự nhiên,40,2018,2021
7440228,Hải dương học,Khoa học tự nhiên,29,2018,2023
7440229,Quản lý dữ liệu khoa học trái đất,Khoa học tự nhiên,17,2022,2023
7440229,Quản lý phân tích dữ liệu khoa học trái đất,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7440298,Biến đổi khí hậu và Phát triển bền vững,Khoa học tự nhiên,36,2018,2021
7440299,Khí tượng thủy văn biển,Khoa học tự nhiên,4,2018,2018
7480201,Xã hội học,Khoa học xã hội và hành vi,2,2021,2021
7520402,Kỳ thuật hạt nhân,Hàng không - Vũ trụ - Hạt nhân,4,2024,2024
7520402,Kỹ thuật hạt nhân,Hàng không - Vũ trụ - Hạt nhân,4,2024,2024
7760102,Công tác Thanh thiếu niên,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
7810301,Quản lý TDTT,Thể dục - Thể thao,6,2024,2024
7810301,Quản lý Thể dục thể thao,Thể dục - Thể thao,8,2024,2024
7810301,Quản lý thể dục thể thao,Thể dục - Thể thao,21,2024,2024
7810301G,Quản lý thể dục thể thao (Chuyên ngành Golf),Thể dục - Thể thao,4,2024,2024
7810302,Huấn luyện thể thao,Thể dục - Thể thao,16,2024,2024
7840102,Quản lý hoạt động bay,Hàng không - Vũ trụ - Hạt nhân,4,2024,2024
7860206,Ngành Chỉ huy tham mưu Tăng Thiết giáp,Văn hóa - Chính trị - Khoa học Xã hội,2,2024,2024
7860229,Ngành Chỉ huy Kỹ thuật hóa học,Văn hóa - Chính trị - Khoa học Xã hội,2,2024,2024
7900101,Quản trị doanh nghiệp và công nghệ,Khác,28,2019,2023
CH2,Hoá học,Khoa học tự nhiên,16,2018,2023
CH2Y,Hoá học,Khoa học tự nhiên,3,2022,2022
F0S1,Đông phương học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
F7310630Q,Việt Nam học,Khoa học xã hội và hành vi,3,2021,2023
FA7310630Q,Việt Nam học,Khoa học xã hội và hành vi,2,2023,2023
FOS1,Đông phương học,Khoa học xã hội và hành vi,8,2023,2023
FSP1,Vật lí,Khoa học tự nhiên,6,2022,2023
HVN12,Xã hội học,Văn hóa - Chính trị - Khoa học Xã hội,4,2024,2024
HVN25,Xã hội học,Khoa học xã hội và hành vi,12,2020,2022
N7310630,Việt Nam học,Khoa học xã hội và hành vi,2,2023,2023
QHT03,Vật lí học,Khoa học tự nhiên,4,2018,2018
QHT04,Khoa học vật liệu,Khoa học tự nhiên,27,2018,2023
