Mã trường,Trường đào tạo,Ngành,Nhóm ngành,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Loại điểm
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,A01,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D01,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D09,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Ngôn ngữ Anh,Công an - Quân đội,7220201,Ngôn ngữ Anh,D10,35.6,Môn Tiếng Anh hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),A00,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),A01,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),D01,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_1,Kinh tế học (ngành Kinh tế),D07,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00,27.01,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A01,27.01,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),D01,27.01,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),D07,27.01,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00,27.34,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A01,27.34,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),D01,27.34,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),D07,27.34,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310104,Kinh tế đầu tư,A00,27.4,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310104,Kinh tế đầu tư,A01,27.4,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310104,Kinh tế đầu tư,D01,27.4,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310104,Kinh tế đầu tư,D07,27.4,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế phát triển,Kinh tế - Quản trị kinh doanh - Thương Mại,7310105,Kinh tế phát triển,A00,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế phát triển,Kinh tế - Quản trị kinh doanh - Thương Mại,7310105,Kinh tế phát triển,A01,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế phát triển,Kinh tế - Quản trị kinh doanh - Thương Mại,7310105,Kinh tế phát triển,D01,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế phát triển,Kinh tế - Quản trị kinh doanh - Thương Mại,7310105,Kinh tế phát triển,D07,27.2,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế quốc tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310106,Kinh tế quốc tế,A00,27.54,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế quốc tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310106,Kinh tế quốc tế,A01,27.54,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế quốc tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310106,Kinh tế quốc tế,D01,27.54,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Kinh tế quốc tế,Kinh tế - Quản trị kinh doanh - Thương Mại,7310106,Kinh tế quốc tế,D07,27.54,,THPTQG
KHA,Đại Học Kinh Tế Quốc Dân,Thống kê kinh doanh,Toán học và thống kê,7310107,Thống kê kinh tế,A00,36.23,Môn Toán hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Thống kê kinh doanh,Toán học và thống kê,7310107,Thống kê kinh tế,A01,36.23,Môn Toán hệ số 2,THPTQG - Thang 40
KHA,Đại Học Kinh Tế Quốc Dân,Thống kê kinh doanh,Toán học và thống kê,7310107,Thống kê kinh tế,D01,36.23,Môn Toán hệ số 2,THPTQG - Thang 40
