SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
01017985,25,1,17985,9.0,,8.25,8.5,3.0,,,,,,28.75,25.75,,20.5,,,6.58,,20.25,,,,
01017986,25,1,17986,,8.5,,,,,,,,,8.5,,,,,,,,,,,,
01017988,25,1,17988,8.2,7.0,5.75,4.25,,,,,8.6,N1,33.8,18.2,22.55,,,23.8,,,,20.95,21.05,,
01017989,25,1,17989,2.2,4.75,,,,5.75,4.25,0.0,,,16.95,,,,14.75,,,,,,,,
01017990,25,1,17990,,7.25,,,,,,,,,7.25,,,,,,,,,,,,
01017991,25,1,17991,3.0,6.5,,,,7.5,9.0,9.75,,,35.75,,,,23.0,,,8.75,,,,,
01017992,25,1,17992,7.4,,6.25,3.75,4.75,,,,,,22.15,17.4,,15.9,,,4.92,,18.4,,,,
01017993,25,1,17993,,6.5,,,,5.75,6.5,6.75,,,25.5,,,,18.75,,,6.33,,,,,
01017994,25,1,17994,,,,,,,,,9.0,N1,9.0,,,,,,,,,,,,
01017995,25,1,17995,3.4,7.75,,,,4.75,4.5,7.25,,,27.65,,,,17.0,,,5.5,,,,,
01017996,25,1,17996,6.8,8.0,,,,,,,5.0,N1,19.8,,,,,19.8,,,,,,,
01017997,25,1,17997,3.4,7.75,,,,8.75,9.5,9.0,,,38.4,,,,26.0,,,9.08,,,,,
01017998,25,1,17998,,6.0,,,,7.0,7.5,,,,20.5,,,,20.5,,,,,,,,
01017999,25,1,17999,8.0,8.75,,,,,,,7.8,N1,24.55,,,,,24.55,,,,,,,
01018000,25,1,18000,7.8,7.5,,,,7.0,,,3.4,N1,25.7,,,,,18.7,,,,,,,
01018002,25,1,18002,7.8,7.0,3.5,4.75,5.0,,,,4.6,N1,32.65,16.05,15.9,17.55,,19.4,4.42,,16.3,18.3,17.15,32.65,
01018003,25,1,18003,7.6,7.25,,,,10.0,9.5,,,,34.35,,,,26.75,,,,,,,,
01018005,25,1,18005,8.0,,,7.0,,,,,8.6,N1,23.6,,,,,,,,,,23.6,,
